formula,method,epoch_start,epoch_end,epoch_seed_points,raw_score_mean,raw_score_std,reward_mean,reward_std,ppo_objective_mean,ppo_objective_std,zero_scores,mean_unique_WA
NbS2,cosine,61,70,30,0.5744889,0.04190223678146549,-0.23474166666666665,0.041050537399919894,7.022864966666667,0.20241946220780968,2,3.7666666666666666
NbS2,cosine,71,80,30,0.5746511666666667,0.038191908448503696,-0.23457936666666668,0.037967323489621375,7.0466883,0.18748276139548578,2,3.6333333333333333
NbS2,cosine,81,90,30,0.5750355,0.03487726818406702,-0.2344938,0.033777670727271884,7.076421033333333,0.19210684011620252,1,3.7666666666666666
NbS2,cosine,91,100,30,0.5684962666666666,0.04725074126186335,-0.24372273333333333,0.05314479186833729,7.109282633333334,0.18310939022043332,2,3.7
NbS2,peak,1,10,30,0.3588126,0.024868388112353944,-0.1718016,0.04108797654918853,2.336459533333333,3.0230343303018326,4,3.8333333333333335
NbS2,peak,11,20,30,0.364668,0.022247090415003338,-0.20643226666666667,0.033455061893962905,2.5906621333333333,3.007906559674372,1,4.233333333333333
NbS2,peak,21,30,30,0.3601035,0.022445575119608763,-0.2164136,0.03305850499100043,2.6739026,3.017264199792693,2,3.8666666666666667
NbS2,peak,31,40,30,0.36025446666666666,0.023566053856813245,-0.2205548,0.03196750224149519,2.7442831,3.05059553283459,2,3.8
NbS2,peak,41,50,30,0.3655850666666667,0.027330756913452332,-0.22198056666666666,0.032960256714901694,2.78445,3.054601004343917,2,4.066666666666666
NbS2,peak,51,60,30,0.3639717,0.028118773782119307,-0.2413889,0.03348852316874145,2.8097338666666665,3.09341829192501,3,3.9
NbS2,peak,61,70,30,0.3660512,0.02221665679529663,-0.2393094,0.024698247672793848,2.8487914,3.0815028112380665,1,3.8666666666666667
NbS2,peak,71,80,30,0.3648425,0.022546882050149042,-0.24051826666666667,0.024666478241983033,2.9012278333333335,3.1261743333660723,2,3.6666666666666665
NbS2,peak,81,90,30,0.36171576666666666,0.025838642627768887,-0.2436448,0.029290213425192613,2.9112316666666667,3.121950151145908,1,3.9
NbS2,peak,91,100,30,0.3618063,0.019863248311307667,-0.2435543,0.02236364061469718,2.9464045666666667,3.1440551888132804,2,3.7333333333333334
Li2TeC2,cosine,1,10,30,0.21641433333333335,0.0437805823109845,-0.2484859,0.07052185175785351,-0.1448074,0.23639336971590386,18,8
Li2TeC2,cosine,11,20,30,0.21346526666666665,0.032713096812472864,-0.35556146666666666,0.0768879167930971,-0.06882640000000001,0.31302935896936784,14,7.966666666666667
