formula,checkpoint_epoch,metric,comparison,pairs,mean_difference,std_difference,positive_pairs,negative_pairs,zero_pairs,exact_sign_flip_p_two_sided
Li2TeC2,20,mean_peak_score,peak_minus_base,3,0.005372720632507859,0.007134730502853846,2,1,0,0.5
Li2TeC2,20,mean_cosine_score,peak_minus_cosine,3,0.001752008944825643,0.009593463478659376,1,2,0,1.0
Li2TeC2,20,mean_cosine_score,cosine_minus_base,3,0.005186494256338908,0.0038206251088527166,2,1,0,0.5
Li2TeC2,20,mean_cosine_score,peak_minus_base,3,0.0069385032011645515,0.005827728415457812,3,0,0,0.25
Li2TeC2,20,structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,valid_xrd,peak_minus_cosine,3,-0.3333333333333333,2.494438257849294,1,2,0,1.0
Li2TeC2,20,valid_xrd,cosine_minus_base,3,0.3333333333333333,2.494438257849294,2,1,0,1.0
Li2TeC2,20,valid_xrd,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,formula_match_sampler,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,formula_match_sampler,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,formula_match_sampler,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_peak_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_peak_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_peak_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_cosine_structure_matches,peak_minus_cosine,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_cosine_structure_matches,cosine_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,20,top10_cosine_structure_matches,peak_minus_base,3,0.0,0.0,0,0,3,1.0
Li2TeC2,50,mean_peak_score,peak_minus_cosine,3,-0.0071049308336044725,0.0041955075294012,0,3,0,0.25
